,district,price,age,newness,squaremeters
0, Beylikdüzü ,1700000,0 (Yeni),Sıfır,165 m2
1, Beylikdüzü ,2399999,0 (Yeni),Sıfır,115 m2
2, Beylikdüzü ,2865000,0 (Yeni),Sıfır,260 m2
3, Beylikdüzü ,899000,4,İkinci El,100 m2
4, Beylikdüzü ,1550000,0 (Yeni),Sıfır,105 m2
5, Beylikdüzü ,1250000,5-10,Sıfır,70 m2
6, Beylikdüzü ,22000000,0 (Yeni),Sıfır,450 m2
7, Güngören ,2200000,21 Ve Üzeri,130 m2,
8, Esenyurt ,1750000,4,İkinci El,130 m2
9, Gaziosmanpaşa ,125000000,5-10,85 m2,
10, Bahçelievler ,1200000,21 Ve Üzeri,İkinci El,100 m2
11, Küçükçekmece ,780000,21 Ve Üzeri,İkinci El,100 m2
12, Beylikdüzü ,2039999,0 (Yeni),Sıfır,97 m2
13, Beylikdüzü ,1699999,0 (Yeni),110 m2,Sıfır
14, Beylikdüzü ,1200000,5-10,Sıfır,100 m2
15, Beylikdüzü ,1400000,5-10,Sıfır,100 m2
16, Beylikdüzü ,899000,4,Sıfır,100 m2
17, Beylikdüzü ,3389000,4,130 m2,
18, Bağcılar ,2000000,5-10,İkinci El,120 m2
19, Beylikdüzü ,1599999,0 (Yeni),Sıfır,105 m2
20, Beylikdüzü ,499000,0 (Yeni),Sıfır,130 m2
21, Beylikdüzü ,1149000,0 (Yeni),Sıfır,240 m2
22, Beylikdüzü ,950000,0 (Yeni),Sıfır,110 m2
23, Beylikdüzü ,769000,0 (Yeni),Sıfır,105 m2
24, Beylikdüzü ,1200000,5-10,Sıfır,100 m2
25, Beylikdüzü ,899000,4,Sıfır,100 m2
26, Beylikdüzü ,2400000,11-15,İkinci El,145 m2
27, Beylikdüzü ,2580000,0 (Yeni),140 m2,
28, Beylikdüzü ,2450000,0 (Yeni),220 m2,
29, Beylikdüzü ,1700000,0 (Yeni),Sıfır,100 m2
30, Beylikdüzü ,1700000,0 (Yeni),Sıfır,165 m2
31, Beylikdüzü ,2399999,0 (Yeni),Sıfır,115 m2
32, Beylikdüzü ,2865000,0 (Yeni),Sıfır,260 m2
33, Beylikdüzü ,899000,4,İkinci El,100 m2
34, Beylikdüzü ,1550000,0 (Yeni),Sıfır,105 m2
35, Beylikdüzü ,1250000,5-10,Sıfır,70 m2
36, Beylikdüzü ,22000000,0 (Yeni),Sıfır,450 m2
37, Güngören ,2200000,21 Ve Üzeri,130 m2,
38, Esenyurt ,1750000,4,İkinci El,130 m2
39, Gaziosmanpaşa ,125000000,5-10,85 m2,
40, Bahçelievler ,1200000,21 Ve Üzeri,İkinci El,100 m2
41, Küçükçekmece ,780000,21 Ve Üzeri,İkinci El,100 m2
42, Beylikdüzü ,2039999,0 (Yeni),Sıfır,97 m2
43, Beylikdüzü ,1699999,0 (Yeni),110 m2,Sıfır
44, Beylikdüzü ,1200000,5-10,Sıfır,100 m2
45, Beylikdüzü ,1400000,5-10,Sıfır,100 m2
46, Beylikdüzü ,899000,4,Sıfır,100 m2
47, Beylikdüzü ,3389000,4,130 m2,
48, Bağcılar ,2000000,5-10,İkinci El,120 m2
49, Beylikdüzü ,1599999,0 (Yeni),Sıfır,105 m2
50, Beylikdüzü ,499000,0 (Yeni),Sıfır,130 m2
51, Beylikdüzü ,1149000,0 (Yeni),Sıfır,240 m2
52, Beylikdüzü ,950000,0 (Yeni),Sıfır,110 m2
53, Beylikdüzü ,769000,0 (Yeni),Sıfır,105 m2
54, Beylikdüzü ,1200000,5-10,Sıfır,100 m2
55, Beylikdüzü ,899000,4,Sıfır,100 m2
56, Beylikdüzü ,2400000,11-15,İkinci El,145 m2
57, Beylikdüzü ,2580000,0 (Yeni),140 m2,
58, Beylikdüzü ,2450000,0 (Yeni),220 m2,
59, Beylikdüzü ,1700000,0 (Yeni),Sıfır,100 m2
60, Beylikdüzü ,1600000,0 (Yeni),140 m2,
61, Beylikdüzü ,1397500,0 (Yeni),115 m2,
62, Başakşehir ,2229000,0 (Yeni),Sıfır,95 m2
63, Beylikdüzü ,699000,0 (Yeni),Sıfır,135 m2
64, Beylikdüzü ,865000,0 (Yeni),Sıfır,125 m2
65, Esenyurt ,660000,4,95 m2,
66, Kadıköy ,8000000,0 (Yeni),110 m2,
67, Beylikdüzü ,1390000,3,İkinci El,85 m2
68, Esenyurt ,690000,4,Sıfır,80 m2
69, Büyükçekmece ,5500000,21 Ve Üzeri,125 m2,
70, Silivri ,3000000,5-10,İkinci El,285 m2
71, Büyükçekmece ,10500000,21 Ve Üzeri,310 m2,
72, Büyükçekmece ,2000000,5-10,450 m2,
73, Büyükçekmece ,1150000,21 Ve Üzeri,80 m2,
74, Esenyurt ,1175000,5-10,135 m2,
75, Bakırköy ,3750000,21 Ve Üzeri,90 m2,
76, Büyükçekmece ,3199999,0 (Yeni),Sıfır,140 m2
77, Beylikdüzü ,6999999,0 (Yeni),Sıfır,400 m2
78, Zeytinburnu ,2250000,21 Ve Üzeri,120 m2,
79, Beylikdüzü ,815000,0 (Yeni),Sıfır,90 m2
80, Beylikdüzü ,2099999,0 (Yeni),95 m2,
81, Kadıköy ,10000000,21 Ve Üzeri,135 m2,
82, Beylikdüzü ,1900000,5-10,250 m2,İkinci El
83, Esenyurt ,599900,0 (Yeni),100 m2,
84, Beylikdüzü ,960000,0 (Yeni),100 m2,
85, Beylikdüzü ,2300000,0 (Yeni),Sıfır,140 m2
86, Beylikdüzü ,1400000,0 (Yeni),110 m2,
87, Beylikdüzü ,2500000,0 (Yeni),Sıfır,235 m2
88, Beylikdüzü ,1550000,0 (Yeni),100 m2,
89, Beylikdüzü ,2149000,0 (Yeni),100 m2,
90, Beylikdüzü ,5850000,0 (Yeni),Sıfır,350 m2
91, Beylikdüzü ,509000,0 (Yeni),Sıfır,110 m2
92, Beylikdüzü ,2400000,4,135 m2,
93, Silivri ,1499000,21 Ve Üzeri,125 m2,
94, Esenyurt ,1600000,4,100 m2,
95, Bahçelievler ,1260000,21 Ve Üzeri,İkinci El,75 m2
96, Silivri ,8200000,0 (Yeni),Sıfır,310 m2
97, Beylikdüzü ,899000,0 (Yeni),Sıfır,95 m2
98, Esenyurt ,1250000,0 (Yeni),120 m2,
99, Beylikdüzü ,1285000,0 (Yeni),Sıfır,110 m2
100, Beylikdüzü ,929000,0 (Yeni),95 m2,
101, Beylikdüzü ,699999,0 (Yeni),Sıfır,165 m2
102, Sultangazi ,1799000,0 (Yeni),İkinci El,170 m2
103, Sultangazi ,815000,5-10,İkinci El,85 m2
104, Bahçelievler ,1450000,21 Ve Üzeri,120 m2,
105, Bahçelievler ,1535000,5-10,80 m2,
106, Esenyurt ,1140000,1,Sıfır,68 m2
107, Küçükçekmece ,1250000,5-10,80 m2,
108, Beylikdüzü ,1699000,0 (Yeni),100 m2,
109, Gaziosmanpaşa ,1250000,5-10,İkinci El,95 m2
110, Bahçelievler ,1100000,21 Ve Üzeri,İkinci El,80 m2
111, Esenyurt ,650000,0 (Yeni),80 m2,
112, Bakırköy ,2250000,5-10,75 m2,
113, Kartal ,1320000,16-20,135 m2,
114, Sultanbeyli ,1375000,3,70 m2,
115, Beylikdüzü ,1399999,0 (Yeni),Sıfır,95 m2
116, Kartal ,1425000,0 (Yeni),75 m2,
117, Beylikdüzü ,1200000,5-10,İkinci El,100 m2
118, Beylikdüzü ,899000,4,Sıfır,110 m2
119, Beylikdüzü ,2395000,0 (Yeni),Sıfır,200 m2
120, Beylikdüzü ,929000,4,Sıfır,100 m2
121, Beylikdüzü ,920000,0 (Yeni),Sıfır,100 m2
122, Beylikdüzü ,775000,0 (Yeni),Sıfır,100 m2
123, Beylikdüzü ,1825000,0 (Yeni),Sıfır,150 m2
124, Beylikdüzü ,2699999,0 (Yeni),Sıfır,200 m2
125, Beylikdüzü ,495000,0 (Yeni),Sıfır,120 m2
126, Beylikdüzü ,799000,0 (Yeni),Sıfır,75 m2
127, Esenyurt ,639000,4,İkinci El,95 m2
128, Esenyurt ,839000,4,Sıfır,95 m2
129, Fatih ,1850000,21 Ve Üzeri,125 m2,
130, Esenyurt ,1080000,5-10,İkinci El,90 m2
131, Beylikdüzü ,835000,3,Sıfır,135 m2
132, Esenyurt ,1200000,0 (Yeni),Sıfır,90 m2
133, Beylikdüzü ,15750000,0 (Yeni),Sıfır,400 m2
134, Beylikdüzü ,2550000,0 (Yeni),100 m2,
135, Büyükçekmece ,16500000,0 (Yeni),155 m2,
136, Büyükçekmece ,3750000,5-10,İkinci El,150 m2
137, Beylikdüzü ,1850000,5-10,İkinci El,110 m2
138, Esenyurt ,799000,0 (Yeni),Sıfır,90 m2
139, Beylikdüzü ,4449000,0 (Yeni),Sıfır,200 m2
140, Esenyurt ,880000,0 (Yeni),85 m2,Sıfır
141, Avcılar ,1165000,2,Sıfır,120 m2
142, Maltepe ,1295000,5-10,70 m2,
143, Beylikdüzü ,2150000,1,140 m2,
144, Beylikdüzü ,2220000,0 (Yeni),Sıfır,135 m2
145, Beylikdüzü ,2300000,0 (Yeni),145 m2,
146, Beylikdüzü ,1450000,3,100 m2,
147, Esenyurt ,890000,0 (Yeni),Sıfır,100 m2
148, Bakırköy ,13500000,21 Ve Üzeri,250 m2,
149, Silivri ,8000000,0 (Yeni),Sıfır,160 m2
150, Maltepe ,10750000,5-10,200 m2,İkinci El
151, Esenyurt ,1900000,5-10,Sıfır,115 m2
152, Esenyurt ,580000,4,Sıfır,100 m2
153, Esenyurt ,1130000,5-10,İkinci El,135 m2
154, Esenyurt ,939000,4,İkinci El,130 m2
155, Esenyurt ,975000,5-10,İkinci El,105 m2
156, Esenyurt ,769000,5-10,İkinci El,120 m2
157, Fatih ,1080000,21 Ve Üzeri,70 m2,
158, Esenyurt ,819000,5-10,100 m2,Sıfır
159, Esenyurt ,960000,5-10,İkinci El,85 m2
160, Esenyurt ,995000,5-10,İkinci El,85 m2
161, Esenyurt ,995000,5-10,İkinci El,90 m2
162, Esenyurt ,980000,4,100 m2,
163, Esenyurt ,719000,5-10,İkinci El,75 m2
164, Esenyurt ,1100000,5-10,İkinci El,140 m2
165, Esenyurt ,940000,5-10,İkinci El,110 m2
166, Bahçelievler ,785000,21 Ve Üzeri,65 m2,
167, Esenyurt ,659000,3,İkinci El,75 m2
168, Arnavutköy ,12250000,0 (Yeni),Sıfır,250 m2
169, Bahçelievler ,5250000,21 Ve Üzeri,500 m2,İkinci El
170, Esenyurt ,1300000,5-10,İkinci El,125 m2
171, Bahçelievler ,1370000,21 Ve Üzeri,100 m2,
172, Beylikdüzü ,729000,0 (Yeni),Sıfır,95 m2
173, Beylikdüzü ,989000,0 (Yeni),Sıfır,130 m2
174, Beylikdüzü ,659000,0 (Yeni),Sıfır,130 m2
175, Esenyurt ,900000,5-10,İkinci El,110 m2
176, Bakırköy ,1900000,16-20,İkinci El,65 m2
177, Beylikdüzü ,1349000,0 (Yeni),Sıfır,90 m2
178, Beylikdüzü ,1280000,0 (Yeni),90 m2,
179, Beylikdüzü ,1400000,5-10,Sıfır,100 m2
180, Esenyurt ,678000,5-10,95 m2,
181, Beylikdüzü ,1475000,4,İkinci El,100 m2
182, Beylikdüzü ,915000,0 (Yeni),Sıfır,110 m2
183, Kadıköy ,3250000,21 Ve Üzeri,75 m2,
184, Beylikdüzü ,1129000,0 (Yeni),Sıfır,125 m2
185, Esenyurt ,1190000,5-10,İkinci El,85 m2
186, Esenyurt ,1140000,4,İkinci El,110 m2
187, Güngören ,850000,21 Ve Üzeri,İkinci El,90 m2
188, Esenyurt ,1589000,4,120 m2,
189, Beylikdüzü ,865000,0 (Yeni),Sıfır,100 m2
190, Esenyurt ,1520000,5-10,200 m2,
191, Esenyurt ,799000,0 (Yeni),Sıfır,105 m2
192, Beylikdüzü ,2350000,0 (Yeni),120 m2,
193, Beylikdüzü ,2550000,0 (Yeni),Sıfır,100 m2
194, Beylikdüzü ,2759999,0 (Yeni),130 m2,
195, Beylikdüzü ,3399999,0 (Yeni),220 m2,
196, Beylikdüzü ,3199999,0 (Yeni),Sıfır,200 m2
197, Zeytinburnu ,1450000,21 Ve Üzeri,80 m2,
198, Beylikdüzü ,929000,4,Sıfır,100 m2
199, Beylikdüzü ,1139000,4,Sıfır,100 m2
200, Beylikdüzü ,2350000,0 (Yeni),150 m2,
201, Beylikdüzü ,5400000,16-20,230 m2,
202, Beylikdüzü ,2039999,0 (Yeni),97 m2,
203, Beylikdüzü ,18700000,0 (Yeni),Sıfır,385 m2
204, Kadıköy ,6850000,21 Ve Üzeri,130 m2,
205, Kadıköy ,4300000,21 Ve Üzeri,150 m2,
206, Kadıköy ,10750000,4,100 m2,
207, Kadıköy ,15950000,0 (Yeni),110 m2,
208, Kadıköy ,10250000,21 Ve Üzeri,150 m2,
209, Kadıköy ,5050000,3,75 m2,
210, Kadıköy ,22500000,1,230 m2,
211, Kadıköy ,24500000,0 (Yeni),295 m2,
